hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
"Kepler-176","d","Gaia DR2 2078286197246582016","TIC 271159950","Transit",25.75200000,,,,,,,,,,,,0.04800,0.03300,-0.01800,0.220,0.080,-0.022,
"Kepler-60","c","Gaia DR2 2102316985943863424","TIC 158923465","Transit",8.92200000,,,,,,,,,,,,0.05400,0.04800,-0.02700,0.212,0.118,-0.054,
"Kepler-128","b","Gaia DR2 2105318412166111232","TIC 123490545","Transit",15.09000000,,,,,,,,,,,,0.13400,0.04500,-0.03900,0.101,0.003,-0.003,
"Kepler-28","b","Gaia DR2 2125731464014361088","TIC 63122956","Transit",5.91200000,,,,,,,,,,,,0.02800,0.01200,-0.01000,0.261,0.041,-0.041,
"Kepler-85","b","Gaia DR2 2127398083121764736","TIC 159580705","Transit",8.30500000,,,,,,,,,,,,,,,,,,
"Kepler-60","d","Gaia DR2 2102316985943863424","TIC 158923465","Transit",11.90300000,0.00100000,-0.00100000,0.105480,,,0.015100,,,,,,0.01196,0.00346,-0.00346,,,,
"Kepler-26","d","Gaia DR2 2107317358665730688","TIC 164833065","Transit",3.54391419,0.00001150,-0.00001150,,,,,,,,,,,,,0.095,0.016,-0.015,
"Kepler-54","b","Gaia DR2 2077974687557384704","TIC 271262203","Transit",,,,,,,,,,,,,,,,0.195,0.007,-0.007,
"Kepler-49","e","Gaia DR2 2053523271244105216","TIC 137555411","Transit",,,,,,,,,,,,,,,,0.193,0.007,-0.007,
"Kepler-49","b","Gaia DR2 2053523271244105216","TIC 137555411","Transit",,,,,,,,,,,,,,,,0.182,0.007,-0.007,
"Kepler-26","d","Gaia DR2 2107317358665730688","TIC 164833065","Transit",,,,,,,,,,,,,,,,0.118,0.006,-0.006,
