HIP,X,Y,Z,Exo,Discovery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
105399,-69.38867943,14.81675127,1.656915,0, None,0,0,0,0.09,-0.71,nan,nan,0.17,0.29,0.11,0.14,0.23,0.36,0.29,0.32,0.26,-0.03,0.4,0.04,-0.05
105406,-23.35644416,4.406153393,12.83485377,0, None,0,0,0,-0.1,-0.63,nan,nan,-0.04,0.38,0.32,0.02,0.01,0.76,0.05,-0.07,-0.07,-0.3,0.25,-0.09,-0.39
105481,-52.26976593,-1.050160569,33.17821255,0, None,0,0,0,0.09,-0.84,nan,0.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
105483,-19.98906332,-0.613405806,33.48406738,0, None,0,0,0,0.27,nan,0.37,0.19,0.42,0.32,0.33,0.31,0.24,0.37,0.35,0.41,0.29,0.27,0.42,0.34,nan
105497,64.4306752,3.815698826,-77.56666828,0, None,0,0,0,0.14,-3.16,-0.07,0.08,0.32,0.27,0.25,0.29,0.17,0.11,0.14,0.1,0.17,0.22,0.28,0.21,0.14
105502,27.51900799,2.176897208,38.99656517,0, None,0,0,0,0.07,-3.11,-0.01,-0.01,0.11,0.19,0.18,0.18,0.01,0.04,0.12,0.09,-0.06,0.25,0.09,0.03,0.02
105515,-25.73546902,-3.080235695,54.46036956,0, None,0,0,0,0.05,-3.34,-0.28,-0.14,0.26,0.16,0.07,0.11,0.04,0.03,0.04,-0.13,0.09,-0.04,0.06,-0.02,0.08
105521,19.51060357,2.664796638,-61.21961896,0, None,0,0,0,0.27,nan,0.15,0.1,0.22,0.24,0.2,0.2,0.22,0.38,0.21,0.16,0.18,0.13,0.36,0.25,0.16
105541,86.96428261,16.39860659,-14.55663231,0, None,0,0,0,-0.16,nan,nan,-0.19,-0.22,0,-0.07,-0.17,-0.11,-0.09,-0.14,-0.28,-0.22,-0.32,-0.07,-0.22,-0.29
105557,15.50698938,3.672574409,36.23917133,0, None,0,0,0,-0.33,nan,nan,nan,-0.27,-0.01,-0.13,-0.17,-0.12,-0.01,-0.16,-0.31,-0.35,-0.59,-0.14,-0.33,-0.17
